정본 표기	분류	정의	금지 · 비정본 표기	코드 실재	비고
봉인	도메인	시스템 자산(진단 리눅스 등)에 마커를 발급해 변조를 감지 가능하게 하는 것		SealedFileCondition	
정본	도메인	무결성 판정의 기준이 되는 내용		HashAcceptService	
수용	도메인	바뀐 파일 내용을 정본으로 받아들여 마커 해시를 재계산하는 것		JobType.HASH_ACCEPT	
세팅 정의서	도메인	프로비저닝 절차를 단계별로 적은 문서. 서버에 할당하면 실행 계약이 된다	(단독 "정의서" 표기 허용)	SettingDefinition	
할당	도메인	정의서를 서버 또는 그룹 멤버에 붙이는 것		SettingAssignment	
지정	도메인	그룹의 표준 정의서를 정하는 것. 붙이는 것(할당)과 다른 단계		group-definition-picker	정당 구분
스냅샷	도메인	할당 시점의 정의서 사본. 원본이 바뀌어도 할당분은 불변		provisioning/assignment	
개시	도메인	할당된 정의서로 프로비저닝을 시작하는 것. 개시 후 재할당 불가		AssignmentState.ACTIVE_CONSUMED	
표준 정의서	도메인	그룹에 정해 둔 기본 정의서. 지정만으로는 붙지 않는다		guest_server_group.default_definition_id	
묶음	도메인	등록 시각 · 스펙이 같은 서버를 자동으로 모아 보여주는 단위(비영속)		서버 목록	
무소속	도메인	어느 그룹에도 속하지 않은 서버		서버 목록	
유령 DB 기록	도메인	실물이 휴지통에도 디스크에도 없이 DB 행만 남은 삭제 자원		DriftKind.GHOST_DB_ROW	
미아 마커	도메인	본체 파일 없이 홀로 발견된 삭제 자원의 마커		DriftKind.SOFTDEL_MARKER_STRAY	
진단 리눅스	도메인	PXE 로 부팅해 하드웨어 정보를 수집하는 경량 리눅스(Alpine 기반)		ProvisioningPhase.DIAGNOSE_LINUX	
중복 확인	도메인	등록하려는 자원과 같은 것이 이미 있을 때 등록을 멈추고 진행 방법을 묻는 절차(코드명 nudge). 제한 시간 세션으로 관리	nudge(사용자 문구), 충돌 확인	management/common/nudge/NudgeAction	Q22 확정
중복 교체	도메인	중복 확인에서 기존 자원을 영구 삭제하고 새로 등록하는 선택	nudge 교체, 충돌 교체	PurgeOrigin.NUDGE_REPLACE	Q22 확정
사용 중단 권고	액션	신규 사용을 권고 수준으로 막는 표시(deprecate). 할당 · 사용은 허용	Deprecated 표시, 지원 중단, 사용 중단	LifecycleStage.DEPRECATED	Q10 확정. 배지 축약형은 S13 에서
권고 해제	액션	사용 중단 권고를 되돌리는 것(undeprecate)	Deprecated 해제	undeprecate	Q10 파생
비활성화	액션	신규 사용을 차단하는 것(toggle). 권고와 다른 축		LifecycleService.toggleEnabled	정당 구분
등록	액션	디스크 실물이 있는 자원을 새로 들여오는 것	추가(자원 문맥), "신규" 수식	각 RegistrationService	Q11 · Q12 확정
작성	액션	내용을 지어 만드는 문서의 신규 — 세팅 정의서 · BIOS 세팅 템플릿	생성(문서 문맥)		Q11 확정
생성	액션	그 밖의 구조물 신규 — 서버 그룹 등	만들기		Q11 확정
복구	액션	휴지통 · 삭제 상태의 자원을 되살리는 것(restore)	복원	LifecycleService.restore	Q9 확정
영구 삭제	액션	자원을 되돌릴 수 없게 지우는 것(purge). 항상 띄어 쓴다	영구삭제	purgeWithTypedNameCheck	Q8 확정
삭제	액션	자원을 휴지통으로 보내는 것(soft-delete)		LifecycleService.softDelete	
폐기	액션	격리 파일을 휴지통 없이 지우는 것. 격리 전용	영구 삭제(격리 문맥)	orphan-recovery	Q15 구분 유지
정리	액션	복구할 실물이 없는 유령 DB 기록만 지우는 것		clear-ghost	정당 구분
제거	액션	저장 전 폼 내부 요소를 빼는 것		setting-new 단계 카드	정당 구분
수정	액션	기존 항목의 편집 화면 · 동작. "메타" 수식어 금지	편집, 메타 수정	각 edit 화면	Q14 확정
취소	액션	확인 모달에서 작업을 포기하는 버튼	닫기(확인 모달 문맥)		Q13 확정
닫기	액션	파괴적 액션 없는 조회 패널을 닫는 버튼	취소(조회 패널 문맥)		Q13 확정
나중에	액션	orphan-recovery 모달 전용 이탈(격리 PENDING 유지)		orphan-recovery-modal	Q13 예외 등재
재시도	액션	실패한 작업을 다시 실행하는 버튼 라벨. 산문에서는 "다시 시도하십시오"	다시 시도(라벨 문맥)		Q17 확정
저장	액션	폼 제출의 기본 라벨			
적용	액션	외부 구성 재반영("저장 및 적용")과 화면 상태 반영("필터 적용") 두 용법 허용			Q18 확정
경로 이동됨	드리프트	파일과 마커가 등록 경로 밖에서 발견됨. 해결 = 등록 경로 갱신		DriftKind.PATH_DRIFT	
자원 소실	드리프트	본체 파일을 찾지 못함		DriftKind.MISSING	
미등록 마커	드리프트	DB 에 짝이 없는 마커. 해결 = 격리 구역으로 이동		DriftKind.ORPHAN	해결 라벨 개정 예정
마커 서명 불일치	드리프트	마커의 HMAC 서명이 맞지 않음. 해결 = 마커 서명 재발급		DriftKind.SIGNATURE_INVALID	
내용 변경 감지	드리프트	파일 내용 해시가 마커와 다름. 해결 = 현재 내용을 정본으로 수용		DriftKind.HASH_MISMATCH	
삭제 자원 복귀	드리프트	삭제 자원이 원래 경로로 돌아와 있음. 해결 = 자원 복구		DriftKind.SOFTDEL_ESCAPE_TO_ORIGINAL	해결 라벨 "복원" → "복구" 개정 예정
삭제 자원 위치 이탈	드리프트	삭제 자원이 휴지통 밖 다른 곳에 있음. 해결 = 휴지통으로 이동		DriftKind.SOFTDEL_ESCAPE_TO_OTHER	해결 라벨 개정 예정
잔여 마커 정리 필요	드리프트	휴지통 처리 후 남은 마커. 해결 = 잔여 마커 정리		DriftKind.TRASH_MARKER_STALE	
휴지통 자원 소실	드리프트	휴지통에 있어야 할 실물이 없음. 해결 = 휴지통 기록 정리		DriftKind.TRASH_LOST	
자원 중복 존재	드리프트	같은 내용의 자원이 복수 위치에 존재		DriftKind.RESOURCE_REPLICA	
PXE	약어	Preboot eXecution Environment — 네트워크 부팅 규약. 화면 노출 허용			Q23 확정
TFTP	약어	Trivial File Transfer Protocol — PXE 부팅 파일 전송			
BMC	약어	Baseboard Management Controller — 보드 원격 관리 컨트롤러			
BIOS	약어	Basic Input Output System			
iPXE	약어	오픈소스 확장 PXE 부트로더			
TTL	약어	Time To Live. 화면에서는 "보존 기간(TTL)" 병기 허용			
ISO	약어	광학 디스크 이미지 파일 형식(ISO 9660)			
HMAC	약어	Hash-based Message Authentication Code — 마커 서명 방식			
Redfish	약어	BMC 표준 관리 API			
펌웨어 파일	도메인	Redfish SimpleUpdate 로 장비에 전송되는 단일 펌웨어 이미지 파일(BIOS 예: image.RBU · BMC 예: .ima_enc). BIOS · BMC 자원 등록의 대상 — R12 에서 번들 모델을 대체	번들, flash 파일	management/bios/firmware/FirmwareFilePolicyStrategy	R12-1 등재
